Food Name,Food type,Belong cuisine,Ingredients need
Pol Roti with chili salad ,Vegetarian,Sri Lankan,"Flour
Coconut
Onion
Green chili
Sri Lankan spices"
Hoppers,Vegetarian,Sri Lankan,"Rice flour
Yeast
Coconut milk
Sugar
Salt
"
Kottu Roti,Vegetarian,Sri Lankan,"Flour
yeast"
Vegitable Kottu,Vegetarian,Sri Lankan,"Flour
Yeast
Water
Vegitables
Sri Lankan spices"
Fish cutlet,Non-vegetarian,Sri Lankan,"Fish
Vegitables
Coconut oil
Vegitables
Bread powder
Sri Lankan spices"
Fish rice and curry ,Non-vegetarian,Sri Lankan,"Rice 
Vegitables
Coconut oil
Fish
Sri Lankan spices
"
Fish Roti,Non-vegetarian,Sri Lankan,"Flour
Fish
Vegitables
Coconut oil
Yeast"
Vegitable Roti,Vegetarian,Sri Lankan,"Flour
Vegitables
Coconut oil
Yeast
Sri Lankan spices"
Sambol,Vegetarian,Sri Lankan,"Sri Lankan spices
Coconut 
"
string hoppers,Vegetarian,Sri Lankan,"Rice flour
"
Dhal curry ,Vegetarian,Sri Lankan,"Dhal
Sri Lankan Spices"
Chana masala ,Vegetarian,Indian,"Chickpea
Vegetable
Onion
Garam masala
Garlic
Chili pepper
Tomato
Coriander
Cumin
Ginger
Salt"
Palak paneer,Vegetarian,Indian,"Paneer cheese
Spinach
Butter
Onion
Garam masala
Garlic
Tomato
Chili pepper
Cream
Cumin
Singer
Salt
Dhaniya Powder
Fenugreek leaves
"
Chickpea curry,Vegetarian,Indian,"Oil
Garlic
Salt
Peper
Chickpeas
Coconut milk
Curry leaves"
Jeera rice,Vegetarian,Indian,"Cinnoman
Bay leaf
Cloves
Green cardomom
Basmathi rice
Cumin seeds"
Jeera Alo,Vegetarian,Indian,"Potato
Cumin
Chili pepper
Coriander
Salt
Dhaniya Powder
Chili powder
Lemon
Textured vegetable protein"
Malai kofta,Vegetarian,Indian,"Tomato
Onion
Salt
Garlic
Cashews
Ginger
Oil
Butter
Bay leaf
Heavy cream
Coriander powder
Cloves
Cinnamon
Cardamoms
Gram masala
Ginger"
Mutton korma,Non-vegetarian,Indian,"Mutton
Curd
Suffron
Salt
Ginger
Garlic
Oil
Ghee
Cashews
"
Pina colada with pork ribs,Non-vegetarian,Indian,"Pork
Oil
Pine apple
Salt
Jaggery
Giner
Mint leaves"
Thandoori lamb chops,Non-vegetarian,Indian,"Yogurt
Lamb chops
Lemon
Garlic 
Salt
Gram masala
Chili powder
Turmeric powder
Ginger"
Keema Samosa with Yogurt Dip,Non-vegetarian,Indian,"Yogurt
Keema
Onion
Hung curd
Gram masala
Garlic
Ginger"
Curried Parmesan Fish Fingers,Non-vegetarian,Indian,"Fish
Lemon 
Garlic
Green chillies
Basil leaves
Salt
Curry powder
Eggs 
Oil
Parmesesan cheese"
Goan Prawn Curry With Raw,Non-vegetarian,Indian,"Coriander seeds
Cumin seeds
peppercorns
turmeric
Coconut
Garlic
Chillies
Prawns
Curry leaves
Coconut oil"
Chicken Malai Kebab,Non-vegetarian,Indian,"Chicken
Oil
Coriander leaves
Butter
Masala powder
Fresh cream
Corn flour
Garlic
Salt
Mozzarella cheese
Corn flour"
