orderItemID,orderID,food,orderedBy,orderType,food_name,food_type,food_cuisine,ingredients,dateOfBirth,feedback
643249be362c27c707fe2656,64316ada362c27c707fe20c8,64315e59362c27c707fe15a6,64315d86362c27c707fe154e,4,Vegetable Chow Mein,Vegetarian,Chinese,"Bell peppers
Green beans
Bok choy
Peas
Snow peas
Green onions
Mushrooms
Vegetable oil
Cabbage
Broccoli 
Carrot
Garlic 
Soy sauce
Sodium soy sauce
Oyster sauce
Noodles 
Bean sprouts
Sesame seeds",2005-04-01,1
643249be362c27c707fe2655,64316ada362c27c707fe20c8,64315e59362c27c707fe1593,64315d86362c27c707fe154e,4,Vegetarian Bourguignon,Vegetarian,French,"Braising steak
Bay leaves
Red wine
Oil
Carrots
Onions
Falour
Tomato
Butter
Bacon lardons
Onions
Mushrooms
Parsley",2005-04-01,1
643249be362c27c707fe2653,64316ada362c27c707fe20c8,64315e59362c27c707fe15b9,64315d86362c27c707fe154e,4,Unagi ,Non-vegetarian,Japanese,"Mirin
Sake
Sugar
Soy sauce
Eels",2005-04-01,1
643249be362c27c707fe2654,64316ada362c27c707fe20c8,64315e59362c27c707fe15af,64315d86362c27c707fe154e,4,Kabocha Miso Soup,Vegetarian,Japanese,"Kabocha 
Shimeji mushrooms
White sesame seeds
Dashi",2005-04-01,1
643249bf362c27c707fe2c2d,64316ada362c27c707fe22bd,64315e59362c27c707fe1593,64315d86362c27c707fe154e,2,Vegetarian Bourguignon,Vegetarian,French,"Braising steak
Bay leaves
Red wine
Oil
Carrots
Onions
Falour
Tomato
Butter
Bacon lardons
Onions
Mushrooms
Parsley",2005-04-01,3
643249bf362c27c707fe2c2b,64316ada362c27c707fe22bd,64315e59362c27c707fe15c7,64315d86362c27c707fe154e,2,Tom Yum Prawns,Non-vegetarian,Tai,"Peanut oil
Garlic
Ginger
Lemongrass
Onions,
Sambal
Caster sugar
Lime leaves
Lime
Fish sauce
Massel chicken style liquid stock
Tomatoes
Prawns
Dried pad Thai rice noodles
Coriander leaves",2005-04-01,3
643249bf362c27c707fe2c2c,64316ada362c27c707fe22bd,64315e59362c27c707fe158e,64315d86362c27c707fe154e,2,Pasta Bake with Sausage,Non-vegetarian,Italian,"Olive oil
Pork sausages
Onion
Garlic
Chilli
Tomatoes
Pasta ",2005-04-01,3
643249bf362c27c707fe2a7a,64316ada362c27c707fe2225,64315e59362c27c707fe157f,64315d86362c27c707fe154e,6,Keema Samosa with Yogurt Dip,Non-vegetarian,Indian,"Yogurt
Keema
Onion
Hung curd
Gram masala
Garlic
Ginger",2005-04-01,3
643249bf362c27c707fe2a78,64316ada362c27c707fe2225,64315e59362c27c707fe15bb,64315d86362c27c707fe154e,6,Yakitori,Non-vegetarian,Japanese,"Chicken
Sake
Garlic
Soy Sauce
Mirin
Scallion",2005-04-01,3
643249bf362c27c707fe2a76,64316ada362c27c707fe2225,64315e59362c27c707fe15d9,64315d86362c27c707fe154e,6,Chicken A La King,Non-vegetarian,American,"Butter
Mushrooms 
Flour
Chicken
Milk
Egg 
Heavy creamy
Frozen peas
Drained pimientos
",2005-04-01,3
643249bf362c27c707fe2a79,64316ada362c27c707fe2225,64315e59362c27c707fe1575,64315d86362c27c707fe154e,6,Dhal curry ,Vegetarian,Sri Lankan,"Dhal
Sri Lankan Spices",2005-04-01,3
643249bf362c27c707fe2a77,64316ada362c27c707fe2225,64315e59362c27c707fe158c,64315d86362c27c707fe154e,6,Chicken Milanese,Non-vegetarian,Italian,"Eggs
Salt
Black pepper
Flour
Bread crumbs
Chicken
Vegetable oil
Lemon",2005-04-01,3
643249bf362c27c707fe2b9f,64316ada362c27c707fe228e,64315e59362c27c707fe157f,64315d86362c27c707fe154e,3,Keema Samosa with Yogurt Dip,Non-vegetarian,Indian,"Yogurt
Keema
Onion
Hung curd
Gram masala
Garlic
Ginger",2005-04-01,5
