_id,food_name,food_type,food_cuisine,ingredients
64315e59362c27c707fe1571,Fish Roti,Non-vegetarian,Sri Lankan,"Flour
Fish
Vegitables
Coconut oil
Yeast"
64315e59362c27c707fe1583,Malabar Chicken Curry,Non-vegetarian,Indian,"Oil
Onion
Cloves
Coconut
Ginger
Grand masala
Pepper
Chicken
Cinnamon
Mustard seeds"
64315e59362c27c707fe156e,Vegitable Kottu,Vegetarian,Sri Lankan,"Flour
Yeast
Water
Vegitables
Sri Lankan spices"
64315e59362c27c707fe156c,Hoppers,Vegetarian,Sri Lankan,"Rice flour
Yeast
Coconut milk
Sugar
Salt
"
64315e59362c27c707fe1573,Sambol,Vegetarian,Sri Lankan,"Sri Lankan spices
Coconut 
"
64315e59362c27c707fe1575,Dhal curry ,Vegetarian,Sri Lankan,"Dhal
Sri Lankan Spices"
64315e59362c27c707fe1585,Rosemary Mushroom Risotto,Vegetarian,Italian,"vegetable
chicken 
Oil
Onion
Rosemary leaves
Mushrooms
Arborio rice
Lemon "
64315e59362c27c707fe158d,Tuscan Lamb Shanks,Non-vegetarian,Italian,"Lamb shanks
Salt
Pepper
Olive oil
Garlic
Tomatoes
Chicken
Olives
Fresh rosemary
Cannellini beans
Green peas
Parsley"
64315e59362c27c707fe1590,Creamy tuscan shrimp,Non-vegetarian,Italian,"Salted butter
Garlic
Prawns
Onion
White wine
Tomato
Salt
Pepper
Spinach leaves
2/3 cup fresh grated Parmesan cheese
Cornflour
Italian herbs
Parsley"
64315e59362c27c707fe1594,Sauerkraut Pie,Vegetarian,French,"Bratwurst
Sauerkraut
Swiss cheese
Cheddar cheese
Biscuit
Pancake mix
Garlic
Milk
Beer
Eggs"
64315e59362c27c707fe159f,Confit de canard,Non-vegetarian,French,"Duck meat
Salt
Onion
Garlic
Black pepper
Thyme"
64315e59362c27c707fe15ac,Chinese Chicken Fried Rice,Non-vegetarian,Chinese,"Sesame oil
Onion
Chicken
Soy sauce
Carrots
Celery
Red bell pepper
Fresh pea pods
Green bell pepper
White rice
Eggs"
64315e59362c27c707fe15b2,Kabocha Gratin,Vegetarian,Japanese,"Butter
Kabocha 
Garlic
Onion
Oyster mushrooms
Shimeji mushrooms 
Olive oil
Miso
Salt
Black pepper
Gruyere cheese
Panko
Elbow macaroni 
White Sauce
Unsalted butter
Flour
Milk (warm)
Pepper powder
Nutmeg 
Parsley "
64315e59362c27c707fe15b7,Sushi,Non-vegetarian,Japanese,"Rice
Japanese cuisine
Nori
Wasabi
Soy sauce
Cucumber
Sumeshi
Salt
Avocado
Rice vinegar
Sushi rice
Nori seaweed"
64315e59362c27c707fe15c4,Spicy Thai Noodles,Vegetarian,Tai,"Pasta
Red pepper
Vegetable oil
Sesame oil
Chili paste
Soy sauce
Honey
Carrots
Peanuts
Cilantro
Sriracha
Sesame seeds "
64315e59362c27c707fe15ca,Chicken Satay With Peanut Sauce,Non-vegetarian,Tai,"Coconut milk
Sodium soy sauce
Yellow curry powder
Turmeric
Garlic
Ginger
Sugar
Fish sauce
Chicken
Canola oil
Salt 
Black pepper
Peanut butter
Lime
Sugar
Garlic sauce"
64315e59362c27c707fe15d4,Broccoli quinoa cakes,Vegetarian,American,"Quinoa
Broccoli
Scallion
Basil, dill
Italian parsley
Egg
Salt
Pepper
Garli
Almond flour 
Cheese
Oil "
64315e59362c27c707fe15e0,Spanakopita,Vegetarian,Greek,"Spinach
Filo pastry
Cheese
Feta
Egg
Ricotta
Butter
Onion
Olive oil
Garlic
Dill
Scallion"
64315e59362c27c707fe15e6,Gemista,Non-vegetarian,Greek,"Rice
Tomato
Ground meat
Olive oil
Eggplant
Onion
Salt
Potato
Garlic
Zucchini
Parsley
Bell Pepper
Black pepper
Tomato paste
Green bell pepper
Textured vegetable protein
Mint
"
64315e59362c27c707fe15ea,Kleftiko,Non-vegetarian,Greek,"Leg of lamb
Onions
Bell peppers (green, red, orange)
Garlic
Mustard
Lemon
Dried oregano
Olive oil
Dry white wine
Yellow cheese
Potatoes
Tomato
Pepper
Salt
"
64315e59362c27c707fe1572,Vegitable Roti,Vegetarian,Sri Lankan,"Flour
Vegitables
Coconut oil
Yeast
Sri Lankan spices"
64315e59362c27c707fe1574,string hoppers,Vegetarian,Sri Lankan,"Rice flour
"
64315e59362c27c707fe1578,Chickpea curry,Vegetarian,Indian,"Oil
Garlic
Salt
Peper
Chickpeas
Coconut milk
Curry leaves"
64315e59362c27c707fe157c,Mutton korma,Non-vegetarian,Indian,"Mutton
Curd
Suffron
Salt
Ginger
Garlic
Oil
Ghee
Cashews
"
64315e59362c27c707fe1582,Chicken Malai Kebab,Non-vegetarian,Indian,"Chicken
Oil
Coriander leaves
Butter
Masala powder
Fresh cream
Corn flour
Garlic
Salt
Mozzarella cheese
Corn flour"
64315e59362c27c707fe158e,Pasta Bake with Sausage,Non-vegetarian,Italian,"Olive oil
Pork sausages
Onion
Garlic
Chilli
Tomatoes
Pasta "
64315e59362c27c707fe1598,Tartiflette without bacon chunks,Vegetarian,French,"Potatoes
Leeks
Onions
Garlic 
Cheese
Cheddar cheese
Vegetarian bacon
Soya cream
Salt
Pepper"
64315e59362c27c707fe15a3,Tofu and Broccoli,Vegetarian,Chinese,"Firm tofu
Vegetable oil
Sesame oil
Broccoli florets
Vegetable broth
Garlic
Ginger
Soy sauce
Agave syrup
Rice vinegar
Sesame seeds
White rice"
64315e59362c27c707fe15a9,Mango Chilli Chicken,Non-vegetarian,Chinese,"Chicken
Avocado
Mango
Cilantro 
Broccoli
Olive oil 
Lime juice
Chili powder
Cumin 
Garlic 
White rice 
Chicken broth 
Butter
Salt
pepper"
64315e59362c27c707fe15aa,Garlic Soya Chicken,Non-vegetarian,Chinese,"Chicken 
Rice wine
Onion 
Garlic
Salt
Ginger
Black peppers
Ccorn starch 
Cooking oil 
Sauce
Brown sugar
Honey
Wice wine
Ginger
Black pepper
Dried chilies"
64315e59362c27c707fe15ab,Chilli Fish,Non-vegetarian,Chinese,"Fish
Lemon
Turmeric powder
Chilli powder
Pepper powder
Ginger 
Curd
Flour
Cornflour
Oil 
Salt
Garlic 
Onion 
Capsicum
Green chillies 
Green chilli sauce
Tomato
Soya sauce
Vinegar
Sugar
Chilli powder
Pepper powder"
64315e59362c27c707fe15ad,Chinese Mixed Fried Rice,Non-vegetarian,Chinese,"Rice
Chicken
Prawns
Sausages
Egg
Vegetable
Sauce
Garlic
Onion
Chili pepper
Soy Sauce
Scallion"
64315e59362c27c707fe15b9,Unagi ,Non-vegetarian,Japanese,"Mirin
Sake
Sugar
Soy sauce
Eels"
64315e59362c27c707fe15bd,Hitsumabushi,Non-vegetarian,Japanese,"Dashi
Kobucha
Unagi
Unagi Sauce 
Rice
Onion
Sprig mitsuba
White sesame seeds
Sansho pepper"
64315e59362c27c707fe15c5,Thai Pumpkin Soup,Vegetarian,Tai,"Pumpkin 
Sunflower oil
Onion
Ginger
Lemongrass
Thai red curry paste
Coconut milk
Vegetable stock
Lime
Sugar
Red chilli"
64315e59362c27c707fe15d2,Avocado Toast,Vegetarian,American,"Bread
Avocado
Salt"
64315e59362c27c707fe15d6,Chicken Over Rice,Non-vegetarian,American,"chicken
Lemon 
Oregano
Coriander seed
Garlic
Olive oil
Salt 
Black pepper
Canola oil
Butter
Turmeric
Ground cumin
Basmati rice
Mayonnaise
Greek yogurt
Sugar
White vinegar
Parsley
Tomato"
64315e59362c27c707fe15e5,Moussaka,Non-vegetarian,Greek,"Eggplant
Potato
Ground meat
Cheese
Tomato
Egg
Mutton
Onion
Garlic
Salt
Olive oil
Milk
Flour
Butter
Black pepper
Ground beef
Parmesan
Ground cinnamon
Fresh oregano"
64315e59362c27c707fe1581,Goan Prawn Curry With Raw,Non-vegetarian,Indian,"Coriander seeds
Cumin seeds
peppercorns
turmeric
Coconut
Garlic
Chillies
Prawns
Curry leaves
Coconut oil"
64315e59362c27c707fe1584,Grilled Chicken Wrap,Non-vegetarian,Indian,"Chicken
Chili powder
Garlic
Cheese
Corn
Red bell pepper
Avocado
Flour tortilla"
64315e59362c27c707fe1599,Gratin dauphinois,Vegetarian,French,"Potato
Cream
Milk
Butter
Garlic
Salt
Gruyère cheese
Black pepper
Nutmeg"
64315e59362c27c707fe159d,Coq au vin,Non-vegetarian,French,"Chicken
Red Wine
Onion
Mushroom
Garlic
Butter
Bacon
Carrot
Salt
Black pepper
Parsley
Flour
Stock
Olive oil
Agaricus bisporus
Thyme"
64315e59362c27c707fe15a5,Lo Mein,Vegetarian,Chinese,"Sauce
Vegetable
Chicken
Garlic
Sesame
Soy Sauce
Scallion
Chili pepper
Oyster Sauce
Onion
Cabbage
Bell Pepper
Minced garlic"
64315e59362c27c707fe15af,Kabocha Miso Soup,Vegetarian,Japanese,"Kabocha 
Shimeji mushrooms
White sesame seeds
Dashi"
64315e59362c27c707fe15be,Chankonabe,Non-vegetarian,Japanese,"Salt
Chicken
Miso
Dashi
Japanese cuisine
Soy Sauce
Udon
Pork
Noodle
Tofu
Garlic
Napa cabbage
Sake
Egg
Mirin
Daikon
Bouillon
Ginger
Ground meat
Carrot
Stock
Scallion
Leek
Juice
Enoki
"
64315e59362c27c707fe15bf,Tofu Pad Thai,Vegetarian,Tai,"Tamarind paste
Lime
Coconut aminos 
Sugar
Chili garlic sauce
Vegetarian Fish Sauce 
Sesame oil
Chili flakes 
Garlic
Bean sprouts
Peanuts
Pad Thai rice noodles
Peanut sauce
Carrot
Cilantro
Chili Garlic Sauce"
64315e59362c27c707fe15c8,Prawn And Pork On Sugarcane Sticks,Non-vegetarian,Tai,"Pork 
Prawns
Cornflour
Egg
Lime 
Sugar
Fish sauce
Lemongrass
Ginger
Red chilli
Lemon
Sugarcane,
Vegetable oil "
64315e59362c27c707fe15d3,Classic Apple Pie,Vegetarian,American,"Apples
Sugar
Lemon
Flour
Cinnamon
Salt
Disks Pie Dough
Egg
Vegetable shortening
Apple cider vinegar
Butter"
64315e59362c27c707fe15da,Steak Diane,Non-vegetarian,American,"Beef
Salt
Beef broth
Worcestershire sauce
Dijon mustard
Tomato paste
Butter
Cognac 
Heavy cream
Black pepper
Chives"
64315e59362c27c707fe15dd,Chickpea Gyro   ,Vegetarian,Greek,"Chickpeas 
Olive oil 
Paprika
Black pepper 
Ccayenne peppe
Salt
Flatbreads
Tzatziki 
Onion 
Lettuce
Tomato"
64315e59362c27c707fe156b,Pol Roti with chili salad ,Vegetarian,Sri Lankan,"Flour
Coconut
Onion
Green chili
Sri Lankan spices"
64315e59362c27c707fe1577,Palak paneer,Vegetarian,Indian,"Paneer cheese
Spinach
Butter
Onion
Garam masala
Garlic
Tomato
Chili pepper
Cream
Cumin
Singer
Salt
Dhaniya Powder
Fenugreek leaves
"
64315e59362c27c707fe156d,Kottu Roti,Vegetarian,Sri Lankan,"Flour
yeast"
64315e59362c27c707fe156f,Fish cutlet,Non-vegetarian,Sri Lankan,"Fish
Vegitables
Coconut oil
Vegitables
Bread powder
Sri Lankan spices"
